күн; n; nom; sg; p3sg
жакшы; adj
мажбур; adj
аюум; n; nom; sg; p1sg
аюуң; n; nom; sg; p2sg
келгем; v; past; px1sg
бар; v
жок; v
саламатсыңарбы; syr
саламатчылык; syr
эже-агайлар; n; nom; pl; p3pl
агай-эжелер; n; nom; pl; p3pl
Бугунку; adv
глобалдык; adj
таза; adj
жер; n; nom; sg; p3sg
рейтинг; n; nom; sg; p3sg
деп; v; gna
деген; v; gpr_perf
болуп; v; act; gna_perf
экен; cop; ger
эмес; cop; neg
турган; v; act; gpr_perf
болгон; v; act; gpr_perf
болот; v
алып; v; act; gna_perf
бол; v; act; imp
алса; v; act; cnd
болсо; v; act; cnd
жол; n; nom; sg; p3sg
жана; conj
деди; v; act; ind_past
керек; mod
келген; v; act; gpr_perf
калды; v; act; ind_past
жаткан; v; gpr_perf
өзүн; prn; qnt
калган; v; act; gpr_perf
келип; v; act; gna_perf
ич; v; act; imp
ичүү; v; act; ger
турат; v
алды; v; act; ind_past
болду; v; act; ind_past
алат; v; act; ind_fut
жатат; v; act; ind_fut
келет; v;act; ind_fut
дейт; v
берет; v; act; ind_fut
кет; v; act; imp
учуу; v; act; ger
алган; v; act; gpr_perf
кылып; v; act; gna_perf
ала; adj
кел; v; act; imp
бер; v; act; imp
берүү; v; act; imp
айткан; v; act; gpr_perf
айтып; v; act; gna_perf
туура; adj
тарап; v; act; gna_perf
чык; v; act; imp
чыгып; v; act; gna_perf
карап; v; act; gna_perf
окуу; v; act; imp
аз; adj
мындай; adj
жүр; v; act; imp
туруп; v; act; gna_perf
албай; v; neg; gna_impf
жаңы; adj
оо; ij
бил; v; act; imp
жалпы; adj
форма; n; nom; sg; p3sg
калып; v; act; gna_perf
көр; v; act; imp
тарт; v; act; imp
элек; n; nom; sg; p3sg
кылган; v; act; gpr_perf
улам; adv
күт; v; act; imp
бас; v; act; imp
тий; v; act; imp
суроо; n; nom; sg; p3sg
коюп; v; gna_perf
кетет; v; act; ind_fut
алыш; v; ger_pres
кылат; v; act; ind_fut
отур; v; act; imp
өс; v; act; imp
деңгээл; n; nom; sg; p3sg
